method,rep,elapsed_secs,best_score
gen,1,30,-1090000000000
gen,1,60,-1090000000000
gen,1,90,-1090000000000
gen,1,120,-1090000000000
gen,1,150,-1090000000000
gen,1,180,-1090000000000
gen,1,210,-1090000000000
gen,1,240,-1090000000000
gen,1,270,-1090000000000
gen,1,300,-1060000000000
gen,1,330,-1060000000000
gen,1,360,-1060000000000
gen,1,390,-1060000000000
gen,1,420,-1060000000000
gen,1,450,-1060000000000
gen,1,480,-1060000000000
gen,1,510,-1060000000000
gen,1,540,-1060000000000
gen,1,570,-1060000000000
gen,1,600,-1060000000000
gen,1,630,-1060000000000
gen,1,660,-1060000000000
gen,1,690,-1060000000000
gen,1,720,-1060000000000
gen,1,750,-1060000000000
gen,1,780,-1060000000000
gen,1,810,-1060000000000
gen,1,840,-1060000000000
gen,1,870,-1060000000000
gen,1,900,-1060000000000
gen,1,930,-1060000000000
gen,1,960,-1060000000000
gen,1,990,-1060000000000
gen,1,1020,-1060000000000
gen,1,1050,-1060000000000
gen,1,1080,-1060000000000
gen,1,1110,-1060000000000
gen,1,1140,-1060000000000
gen,1,1170,-1060000000000
gen,1,1200,-1060000000000
gen,1,1230,-1060000000000
gen,1,1260,-1060000000000
gen,1,1290,-1060000000000
gen,1,1320,-1060000000000
gen,1,1350,-1060000000000
gen,1,1380,-1060000000000
gen,1,1410,-1060000000000
gen,1,1440,-1060000000000
gen,1,1470,-1060000000000
gen,1,1500,-1060000000000
gen,1,1530,-1060000000000
gen,1,1560,-1060000000000
gen,1,1590,-1060000000000
gen,1,1620,-1060000000000
gen,1,1650,-1060000000000
gen,1,1680,-1040000000000
gen,1,1710,-1040000000000
gen,1,1740,-1040000000000
gen,1,1770,-1040000000000
gen,1,1800,-1040000000000
gen,1,1830,-1040000000000
gen,1,1860,-1040000000000
gen,1,1890,-1040000000000
gen,1,1920,-1040000000000
gen,1,1950,-1040000000000
gen,1,1980,-1040000000000
gen,1,2010,-1040000000000
gen,1,2040,-1040000000000
gen,1,2070,-1040000000000
gen,1,2100,-1040000000000
gen,1,2130,-1040000000000
gen,1,2160,-1040000000000
gen,1,2190,-1040000000000
gen,1,2220,-1040000000000
gen,1,2250,-1040000000000
gen,1,2280,-1040000000000
gen,1,2310,-1040000000000
gen,1,2340,-1040000000000
gen,1,2370,-1040000000000
gen,1,2400,-1020000000000
sa,1,60,-1220000000000
sa,1,90,-1220000000000
sa,1,120,-1220000000000
sa,1,150,-1220000000000
sa,1,180,-1220000000000
sa,1,210,-1220000000000
sa,1,240,-1160000000000
sa,1,270,-1160000000000
sa,1,300,-1160000000000
sa,1,330,-1160000000000
sa,1,360,-1160000000000
sa,1,390,-1160000000000
sa,1,420,-1160000000000
sa,1,450,-1160000000000
sa,1,480,-1160000000000
sa,1,510,-1160000000000
sa,1,540,-1160000000000
sa,1,570,-1160000000000
sa,1,600,-1160000000000
sa,1,630,-1160000000000
sa,1,660,-1160000000000
sa,1,690,-1160000000000
sa,1,720,-1160000000000
sa,1,750,-1160000000000
sa,1,780,-1160000000000
sa,1,810,-1160000000000
sa,1,840,-1160000000000
sa,1,870,-1160000000000
sa,1,900,-1160000000000
sa,1,930,-1160000000000
sa,1,960,-1160000000000
sa,1,990,-1160000000000
sa,1,1020,-1160000000000
sa,1,1050,-1160000000000
sa,1,1080,-1160000000000
sa,1,1110,-1160000000000
sa,1,1140,-1160000000000
sa,1,1170,-1160000000000
sa,1,1200,-1160000000000
sa,1,1230,-1160000000000
