Error loading layout at './core/test-layouts': Path './core/test-layouts' either doesn't exist or is not a directory
Error loading layout from './layouts/test': Is a directory (os error 21)
Error loading layout from './layouts/goalseed-gen': Is a directory (os error 21)
Error loading layout from './layouts/goalseed-best': Is a directory (os error 21)
Error loading layout from './layouts/long-run': Is a directory (os error 21)
> gen: random restart greedy, 3 threads, top 1, from my-layout (2400s)

  1 layouts | best: -3.12T | 1/s | 0.7s   
  4 layouts | best: -1.58T | 3/s | 1.4s   
  7 layouts | best: -1.58T | 3/s | 2.1s   
  10 layouts | best: -1.46T | 2/s | 4.7s   
  13 layouts | best: -1.18T | 2/s | 5.4s   
  16 layouts | best: -1.18T | 2/s | 6.5s   
  17 layouts | best: -1.18T | 2/s | 8.6s   
  20 layouts | best: -1.18T | 2/s | 9.4s   
  22 layouts | best: -1.18T | 2/s | 10.1s   
  24 layouts | best: -1.18T | 2/s | 10.9s   
  26 layouts | best: -1.18T | 2/s | 11.4s   
  29 layouts | best: -1.18T | 2/s | 12.1s   
  31 layouts | best: -1.18T | 2/s | 14.4s   
  32 layouts | best: -1.18T | 2/s | 15.0s   
  35 layouts | best: -1.18T | 2/s | 15.7s   
  37 layouts | best: -1.18T | 2/s | 16.5s   
  39 layouts | best: -1.18T | 2/s | 17.2s   
  42 layouts | best: -1.17T | 2/s | 17.9s   
  44 layouts | best: -1.17T | 2/s | 18.5s   
  47 layouts | best: -1.17T | 2/s | 19.3s   
  50 layouts | best: -1.17T | 2/s | 20.0s   
  53 layouts | best: -1.17T | 3/s | 20.8s   
  55 layouts | best: -1.17T | 3/s | 21.6s   
  56 layouts | best: -1.17T | 3/s | 22.3s   
  57 layouts | best: -1.17T | 2/s | 23.1s   
  60 layouts | best: -1.17T | 3/s | 23.8s   
  62 layouts | best: -1.17T | 3/s | 24.5s   
  64 layouts | best: -1.17T | 2/s | 26.2s   
  65 layouts | best: -1.17T | 2/s | 27.0s   
  68 layouts | best: -1.17T | 2/s | 28.2s   
  69 layouts | best: -1.17T | 2/s | 30.1s   
  71 layouts | best: -1.17T | 2/s | 30.8s   
  74 layouts | best: -1.17T | 2/s | 31.5s   
  76 layouts | best: -1.17T | 2/s | 32.3s   
  78 layouts | best: -1.17T | 2/s | 33.0s   
  79 layouts | best: -1.17T | 2/s | 33.6s   
  81 layouts | best: -1.17T | 2/s | 34.4s   
  82 layouts | best: -1.17T | 2/s | 35.0s   
  83 layouts | best: -1.17T | 2/s | 35.8s   
  84 layouts | best: -1.17T | 2/s | 36.3s   
  86 layouts | best: -1.17T | 2/s | 37.5s   
  87 layouts | best: -1.17T | 2/s | 39.6s   
  89 layouts | best: -1.15T | 2/s | 40.4s   
  92 layouts | best: -1.15T | 2/s | 41.1s   
  95 layouts | best: -1.15T | 2/s | 41.8s   
  97 layouts | best: -1.15T | 2/s | 42.5s   
  98 layouts | best: -1.15T | 2/s | 43.7s   
  99 layouts | best: -1.15T | 2/s | 44.5s   
  101 layouts | best: -1.15T | 2/s | 45.2s   
  104 layouts | best: -1.15T | 2/s | 45.9s   
  106 layouts | best: -1.15T | 2/s | 46.9s   
  107 layouts | best: -1.15T | 2/s | 47.6s   
  109 layouts | best: -1.15T | 2/s | 48.7s   
  110 layouts | best: -1.15T | 2/s | 49.3s   
  112 layouts | best: -1.15T | 2/s | 50.0s   
  114 layouts | best: -1.15T | 2/s | 50.5s   
  117 layouts | best: -1.15T | 2/s | 51.3s   
  119 layouts | best: -1.15T | 2/s | 52.3s   
  120 layouts | best: -1.15T | 2/s | 53.1s   
  122 layouts | best: -1.15T | 2/s | 53.8s   
  125 layouts | best: -1.15T | 2/s | 54.9s   
  126 layouts | best: -1.15T | 2/s | 56.5s   
  128 layouts | best: -1.15T | 2/s | 57.2s   
  130 layouts | best: -1.15T | 2/s | 57.9s   
  132 layouts | best: -1.15T | 2/s | 58.6s   
  134 layouts | best: -1.15T | 2/s | 59.4s   
  136 layouts | best: -1.15T | 2/s | 60.1s   
  138 layouts | best: -1.15T | 2/s | 60.7s   
  140 layouts | best: -1.15T | 2/s | 61.4s   
  141 layouts | best: -1.15T | 2/s | 62.3s   
  142 layouts | best: -1.15T | 2/s | 62.9s   
  145 layouts | best: -1.15T | 2/s | 63.6s   
  147 layouts | best: -1.15T | 2/s | 64.3s   
  148 layouts | best: -1.15T | 2/s | 64.9s   
  150 layouts | best: -1.15T | 2/s | 65.6s   
  152 layouts | best: -1.15T | 2/s | 66.3s   
  155 layouts | best: -1.15T | 2/s | 67.1s   
  156 layouts | best: -1.15T | 2/s | 67.6s   
  157 layouts | best: -1.15T | 2/s | 68.3s   
  158 layouts | best: -1.15T | 2/s | 69.1s   
  160 layouts | best: -1.15T | 2/s | 69.8s   
  163 layouts | best: -1.15T | 2/s | 70.5s   
  166 layouts | best: -1.15T | 2/s | 71.1s   
  169 layouts | best: -1.15T | 2/s | 71.9s   
  171 layouts | best: -1.15T | 2/s | 72.6s   
  173 layouts | best: -1.15T | 2/s | 73.5s   
  175 layouts | best: -1.15T | 2/s | 74.4s   
  177 layouts | best: -1.15T | 2/s | 75.1s   
  179 layouts | best: -1.15T | 2/s | 76.1s   
  181 layouts | best: -1.12T | 2/s | 76.8s   
  183 layouts | best: -1.12T | 2/s | 77.7s   
  185 layouts | best: -1.12T | 2/s | 78.5s   
  186 layouts | best: -1.12T | 2/s | 79.3s   
  188 layouts | best: -1.12T | 2/s | 80.1s   
  189 layouts | best: -1.12T | 2/s | 80.8s   
  191 layouts | best: -1.07T | 2/s | 81.6s   
