stage,param_name,param_value,rep,final_score,iterations,restarts,improves
stage1,swaps,2,1,-1050000000000,122,0,6
stage1,swaps,2,2,-999000000000,137,0,6
stage1,swaps,4,1,-1080000000000,135,0,4
stage1,swaps,4,2,-1090000000000,143,1,7
stage1,swaps,6,1,-1150000000000,108,0,9
stage1,swaps,6,2,-1060000000000,109,0,6
stage1,swaps,8,1,-1100000000000,113,0,7
stage1,swaps,8,2,-1130000000000,125,0,5
stage1,swaps,12,1,-1090000000000,102,0,1
stage1,swaps,12,2,-1120000000000,106,0,3
stage2,temp,0.01,1,-1140000000000,121,0,5
stage2,temp,0.01,2,-1070000000000,117,0,3
stage2,temp,0.1,1,-1090000000000,167,1,6
stage2,temp,0.1,2,-1110000000000,144,0,7
stage2,temp,0.3,1,-1090000000000,213,1,7
stage2,temp,0.3,2,-1120000000000,200,1,7
stage2,temp,1.0,1,-1010000000000,307,1,10
stage2,temp,1.0,2,-1050000000000,313,1,4
stage3,cool,0.999,1,-1080000000000,253,2,8
stage3,cool,0.999,2,-1040000000000,299,1,6
stage3,cool,0.9999,1,-1070000000000,283,2,4
stage3,cool,0.9999,2,-1050000000000,333,2,12
stage3,cool,0.99995,1,-1070000000000,254,0,6
stage3,cool,0.99995,2,-1090000000000,294,2,10
stage4,stale,20,1,-1110000000000,280,10,14
stage4,stale,20,2,-1120000000000,234,9,5
stage4,stale,100,1,-1090000000000,240,1,3
stage4,stale,100,2,-1080000000000,289,2,6
stage4,stale,500,1,-1070000000000,257,0,6
stage4,stale,500,2,-1100000000000,228,0,6
