layout,label,temp,qv,qa,restart,swaps,run,elapsed_s,best_score,iters,iters_per_s,restarts
my-layout,baseline,5230,2.62,-5.0,2e-5,8,3,30.04,-1400000000000,215,7.2,0
my-layout,baseline,5230,2.62,-5.0,2e-5,8,2,30.12,-1390000000000,185,6.1,0
my-layout,baseline,5230,2.62,-5.0,2e-5,8,1,30.35,-1430000000000,196,6.5,0
my-layout,temp=100,100,2.62,-5.0,2e-5,8,1,30.03,-1390000000000,218,7.3,0
my-layout,temp=100,100,2.62,-5.0,2e-5,8,2,30.25,-1380000000000,172,5.7,0
my-layout,temp=100,100,2.62,-5.0,2e-5,8,3,30.26,-1440000000000,204,6.7,0
my-layout,temp=1000,1000,2.62,-5.0,2e-5,8,1,30.07,-1380000000000,191,6.4,0
my-layout,temp=1000,1000,2.62,-5.0,2e-5,8,2,30.25,-1410000000000,238,7.9,0
my-layout,temp=1000,1000,2.62,-5.0,2e-5,8,3,30.28,-1400000000000,175,5.8,0
my-layout,temp=10000,10000,2.62,-5.0,2e-5,8,3,30.00,-1400000000000,184,6.1,0
my-layout,temp=10000,10000,2.62,-5.0,2e-5,8,2,30.04,-1390000000000,202,6.7,0
my-layout,temp=10000,10000,2.62,-5.0,2e-5,8,1,30.05,-1370000000000,197,6.6,0
my-layout,temp=50000,50000,2.62,-5.0,2e-5,8,2,30.16,-1370000000000,194,6.4,0
my-layout,temp=50000,50000,2.62,-5.0,2e-5,8,3,30.28,-1400000000000,188,6.2,0
my-layout,temp=50000,50000,2.62,-5.0,2e-5,8,1,30.50,-1400000000000,177,5.8,0
my-layout,qv=1.5,5230,1.5,-5.0,2e-5,8,1,30.00,-1440000000000,186,6.2,0
my-layout,qv=1.5,5230,1.5,-5.0,2e-5,8,2,30.01,-1390000000000,196,6.5,0
my-layout,qv=1.5,5230,1.5,-5.0,2e-5,8,3,30.37,-1400000000000,194,6.4,0
my-layout,qv=2.0,5230,2.0,-5.0,2e-5,8,2,30.00,-1400000000000,248,8.3,0
my-layout,qv=2.0,5230,2.0,-5.0,2e-5,8,3,30.02,-1390000000000,198,6.6,0
my-layout,qv=2.0,5230,2.0,-5.0,2e-5,8,1,30.08,-1400000000000,227,7.5,0
my-layout,qv=2.8,5230,2.8,-5.0,2e-5,8,2,30.02,-1390000000000,207,6.9,0
my-layout,qv=2.8,5230,2.8,-5.0,2e-5,8,1,30.54,-1420000000000,214,7.0,0
my-layout,qv=2.8,5230,2.8,-5.0,2e-5,8,3,30.67,-1410000000000,189,6.2,0
my-layout,qv=2.95,5230,2.95,-5.0,2e-5,8,1,30.01,-1390000000000,193,6.4,0
my-layout,qv=2.95,5230,2.95,-5.0,2e-5,8,2,30.09,-1370000000000,199,6.6,0
my-layout,qv=2.95,5230,2.95,-5.0,2e-5,8,3,30.44,-1410000000000,188,6.2,0
my-layout,qa=-5,5230,2.62,-5.0,2e-5,8,2,30.04,-1410000000000,220,7.3,0
my-layout,qa=-5,5230,2.62,-5.0,2e-5,8,3,30.07,-1390000000000,215,7.1,0
my-layout,qa=-5,5230,2.62,-5.0,2e-5,8,1,30.12,-1350000000000,192,6.4,0
my-layout,qa=-10,5230,2.62,-10.0,2e-5,8,2,30.00,-1390000000000,204,6.8,0
my-layout,qa=-10,5230,2.62,-10.0,2e-5,8,3,30.05,-1390000000000,215,7.2,0
my-layout,qa=-10,5230,2.62,-10.0,2e-5,8,1,30.15,-1410000000000,175,5.8,0
my-layout,qa=-50,5230,2.62,-50.0,2e-5,8,3,30.05,-1400000000000,166,5.5,0
my-layout,qa=-50,5230,2.62,-50.0,2e-5,8,2,30.19,-1370000000000,178,5.9,0
my-layout,qa=-50,5230,2.62,-50.0,2e-5,8,1,30.33,-1410000000000,182,6.0,0
my-layout,qa=-500,5230,2.62,-500.0,2e-5,8,3,30.09,-1370000000000,201,6.7,0
my-layout,qa=-500,5230,2.62,-500.0,2e-5,8,2,30.41,-1380000000000,198,6.5,0
my-layout,qa=-500,5230,2.62,-500.0,2e-5,8,1,30.44,-1420000000000,200,6.6,0
my-layout,restart=1e-3,5230,2.62,-5.0,1e-3,8,1,30.01,-1440000000000,234,7.8,2
my-layout,restart=1e-3,5230,2.62,-5.0,1e-3,8,2,30.18,-1420000000000,223,7.4,2
my-layout,restart=1e-3,5230,2.62,-5.0,1e-3,8,3,30.63,-1410000000000,184,6.0,1
my-layout,restart=1e-4,5230,2.62,-5.0,1e-4,8,1,30.05,-1420000000000,193,6.4,0
my-layout,restart=1e-4,5230,2.62,-5.0,1e-4,8,3,30.31,-1430000000000,212,7.0,0
my-layout,restart=1e-4,5230,2.62,-5.0,1e-4,8,2,30.41,-1410000000000,179,5.9,0
my-layout,restart=1e-6,5230,2.62,-5.0,1e-6,8,2,30.01,-1430000000000,178,5.9,0
