layout,label,sa_iters,sa_temp,sa_final,greedy,run,elapsed_s,best_score,iters,rate,restarts
my-layout,greedy-only,0,10,1e-5,1,1,15.01,-1400000000000,265,17.7,0
my-layout,greedy-only,0,10,1e-5,1,2,15.11,-1410000000000,247,16.3,0
my-layout,greedy-only,0,10,1e-5,1,3,15.12,-1410000000000,225,14.9,0
my-layout,sa100-t0.1,100,0.1,1e-5,1,2,15.16,-1460000000000,74,4.9,0
my-layout,sa100-t0.1,100,0.1,1e-5,1,1,15.21,-1390000000000,52,3.4,0
my-layout,sa100-t0.1,100,0.1,1e-5,1,3,15.56,-1400000000000,72,4.6,0
my-layout,sa100-t0.01,100,0.01,1e-5,1,3,15.15,-1390000000000,76,5.0,0
my-layout,sa100-t0.01,100,0.01,1e-5,1,1,15.43,-1410000000000,79,5.1,0
my-layout,sa100-t0.01,100,0.01,1e-5,1,2,15.43,-1390000000000,100,6.5,0
my-layout,sa100-t0.001,100,0.001,1e-7,1,1,15.02,-1450000000000,136,9.1,0
my-layout,sa100-t0.001,100,0.001,1e-7,1,2,15.10,-1400000000000,179,11.9,0
my-layout,sa100-t0.001,100,0.001,1e-7,1,3,15.36,-1390000000000,145,9.4,0
my-layout,sa500-t0.1,500,0.1,1e-5,1,3,15.01,-1430000000000,96,6.4,0
my-layout,sa500-t0.1,500,0.1,1e-5,1,1,15.48,-1400000000000,70,4.5,0
my-layout,sa500-t0.1,500,0.1,1e-5,1,2,15.82,-1400000000000,105,6.6,0
my-layout,sa500-t0.01,500,0.01,1e-5,1,1,15.08,-1400000000000,64,4.2,0
my-layout,sa500-t0.01,500,0.01,1e-5,1,2,15.29,-1450000000000,63,4.1,0
my-layout,sa500-t0.01,500,0.01,1e-5,1,3,15.42,-1430000000000,72,4.7,0
my-layout,sa500-t0.001,500,0.001,1e-7,1,2,15.05,-1430000000000,115,7.6,0
my-layout,sa500-t0.001,500,0.001,1e-7,1,3,15.18,-1420000000000,126,8.3,0
my-layout,sa500-t0.001,500,0.001,1e-7,1,1,15.23,-1440000000000,103,6.8,0
my-layout,sa1000-t0.1,1000,0.1,1e-5,1,3,15.08,-1390000000000,64,4.2,0
my-layout,sa1000-t0.1,1000,0.1,1e-5,1,2,15.30,-1350000000000,66,4.3,0
my-layout,sa1000-t0.1,1000,0.1,1e-5,1,1,15.67,-1410000000000,63,4.0,0
my-layout,sa1000-t0.01,1000,0.01,1e-5,1,3,15.04,-1360000000000,66,4.4,0
my-layout,sa1000-t0.01,1000,0.01,1e-5,1,1,15.26,-1460000000000,66,4.3,0
my-layout,sa1000-t0.01,1000,0.01,1e-5,1,2,15.65,-1450000000000,58,3.7,0
my-layout,sa1000-t0.001,1000,0.001,1e-7,1,1,15.09,-1380000000000,108,7.2,0
my-layout,sa1000-t0.001,1000,0.001,1e-7,1,3,15.18,-1370000000000,115,7.6,0
my-layout,sa1000-t0.001,1000,0.001,1e-7,1,2,15.36,-1440000000000,72,4.7,0
my-layout,sa1000-t1.0,1000,1.0,1e-5,1,1,15.18,-1410000000000,72,4.7,0
my-layout,sa1000-t1.0,1000,1.0,1e-5,1,2,15.33,-1460000000000,75,4.9,0
my-layout,sa1000-t1.0,1000,1.0,1e-5,1,3,15.62,-1410000000000,95,6.1,0
my-layout,sa1000-t0.5,1000,0.5,1e-5,1,1,15.03,-1390000000000,66,4.4,0
my-layout,sa1000-t0.5,1000,0.5,1e-5,1,2,15.03,-1450000000000,57,3.8,0
my-layout,sa1000-t0.5,1000,0.5,1e-5,1,3,15.15,-1400000000000,82,5.4,0
my-layout,sa5000-t0.01,5000,0.01,1e-5,1,3,15.48,-1440000000000,35,2.3,0
my-layout,sa5000-t0.01,5000,0.01,1e-5,1,2,15.49,-1420000000000,40,2.6,0
my-layout,sa5000-t0.01,5000,0.01,1e-5,1,1,15.68,-1430000000000,35,2.2,0
my-layout,sa5000-t0.1,5000,0.1,1e-5,1,3,15.06,-1440000000000,64,4.2,0
my-layout,sa5000-t0.1,5000,0.1,1e-5,1,2,15.17,-1420000000000,41,2.7,0
my-layout,sa5000-t0.1,5000,0.1,1e-5,1,1,15.89,-1400000000000,58,3.7,0
my-layout,sa1000-t10,1000,10.0,1e-5,1,3,15.43,-1410000000000,59,3.8,0
my-layout,sa1000-t10,1000,10.0,1e-5,1,1,15.44,-1410000000000,72,4.7,0
my-layout,sa1000-t10,1000,10.0,1e-5,1,2,15.54,-1430000000000,57,3.7,0
my-layout,sa10000-t10,10000,10.0,1e-5,1,1,15.01,-1380000000000,30,2.0,0
my-layout,sa10000-t10,10000,10.0,1e-5,1,2,15.03,-1420000000000,25,1.7,0
my-layout,sa10000-t10,10000,10.0,1e-5,1,3,15.13,-1460000000000,29,1.9,0
my-layout,sa1000-t0.01-ng,1000,0.01,1e-5,0,1,15.00,-1440000000000,1830,122.0,1
my-layout,sa1000-t0.01-ng,1000,0.01,1e-5,0,3,15.00,-1490000000000,1830,122.0,1
my-layout,sa1000-t0.01-ng,1000,0.01,1e-5,0,2,15.00,-1470000000000,1830,122.0,1
my-layout,sa5000-t0.01-ng,5000,0.01,1e-5,0,1,15.01,-1450000000000,396,26.4,0
my-layout,sa5000-t0.01-ng,5000,0.01,1e-5,0,3,15.03,-1460000000000,393,26.1,0
my-layout,sa5000-t0.01-ng,5000,0.01,1e-5,0,2,15.03,-1490000000000,394,26.2,0
