trial,fitness,s_wins,g_wins,c_wins,layout_name,magic_rules,sfbs,sfs,stretches,redirect,onehandin,onehandout,inroll,outroll,alternate,w_sfbs,w_sfs,w_stretches,w_inroll,w_outroll,w_alternate,w_redirect,w_onehandin,w_onehandout,w_finger_usage,w_magic_rule_penalty
1,3003.7058,5,5,6,gen-1,23,2.419,4.172,1.572,1.368,0.239,0.197,10.065,8.098,20.218,39,6,23,3,2,0,16,1,0,19,1
1,3000.9996,6,4,6,gen-10,21,0.666,3.345,2.059,2.216,0.202,0.547,12.179,7.954,19.180,39,6,23,3,2,0,16,1,0,19,1
1,3001.9445,7,4,7,gen-2,21,1.495,3.641,1.375,2.292,0.325,0.312,12.640,7.641,17.903,39,6,23,3,2,0,16,1,0,19,1
1,3001.1788,6,4,6,gen-3,13,0.528,3.668,1.985,2.080,0.155,0.715,10.131,10.083,19.284,39,6,23,3,2,0,16,1,0,19,1
1,3000.4727,5,4,6,gen-4,18,0.578,3.935,1.476,1.941,0.362,0.419,12.377,8.980,18.392,39,6,23,3,2,0,16,1,0,19,1
1,3000.2261,6,6,6,gen-5,19,0.620,3.571,1.235,1.218,0.479,0.294,10.382,10.267,19.814,39,6,23,3,2,0,16,1,0,19,1
1,3000.4324,4,4,6,gen-6,19,0.551,3.761,2.192,2.900,0.535,0.395,11.781,10.214,16.652,39,6,23,3,2,0,16,1,0,19,1
1,3000.4033,7,6,7,gen-7,16,0.699,3.558,1.569,1.685,0.091,0.197,8.682,11.866,19.734,39,6,23,3,2,0,16,1,0,19,1
1,3000.5881,6,4,7,gen-8,18,0.636,3.445,2.235,2.257,0.179,0.372,5.923,14.497,19.082,39,6,23,3,2,0,16,1,0,19,1
1,3000.7469,5,5,6,gen-9,17,0.622,3.781,1.912,1.912,0.190,0.502,11.600,8.883,19.278,39,6,23,3,2,0,16,1,0,19,1
