layout,sa_iters,greedy,tree_depth,explore,run,elapsed_s,rollouts,best_score,rollouts_per_s
nrts-oxey,100,0,0,1.41,1,120.00,780800,-406600000000,6506.7
nrts-oxey,100,0,0,1.41,2,120.00,796600,-349900000000,6638.3
nrts-oxey,100,0,0,1.41,3,120.00,845300,-351300000000,7044.2
nrts-oxey,100,0,0,1.41,4,120.00,587000,-377700000000,4891.7
nrts-oxey,100,0,0,1.41,5,120.00,848900,-344500000000,7074.2
nrts-oxey,1000,0,0,1.41,1,120.01,9300,-256900000000,77.5
nrts-oxey,1000,0,0,1.41,2,120.06,9300,-261900000000,77.5
nrts-oxey,1000,0,0,1.41,3,120.07,9200,-263100000000,76.6
nrts-oxey,1000,0,0,1.41,4,120.05,9300,-259500000000,77.5
nrts-oxey,1000,0,0,1.41,5,120.00,9300,-256800000000,77.5
nrts-oxey,10000,0,0,1.41,1,120.78,970,-250700000000,8.0
nrts-oxey,10000,0,0,1.41,2,120.11,960,-259100000000,8.0
nrts-oxey,10000,0,0,1.41,3,120.71,960,-249600000000,8.0
nrts-oxey,10000,0,0,1.41,4,120.97,960,-251100000000,7.9
nrts-oxey,10000,0,0,1.41,5,120.87,970,-244500000000,8.0
nrts-oxey,100000,0,0,1.41,1,126.68,100,-244200000000,0.8
nrts-oxey,100000,0,0,1.41,2,125.69,100,-246300000000,0.8
nrts-oxey,100000,0,0,1.41,3,125.28,100,-239700000000,0.8
nrts-oxey,100000,0,0,1.41,4,125.43,100,-254700000000,0.8
nrts-oxey,100000,0,0,1.41,5,125.62,100,-250400000000,0.8
nrts-oxey,100,1,0,1.41,1,120.14,3400,-251100000000,28.3
nrts-oxey,100,1,0,1.41,2,120.04,3200,-258000000000,26.7
nrts-oxey,100,1,0,1.41,3,120.23,3400,-244300000000,28.3
nrts-oxey,100,1,0,1.41,4,120.12,3500,-250600000000,29.1
nrts-oxey,100,1,0,1.41,5,120.11,3500,-242600000000,29.1
nrts-oxey,1000,1,0,1.41,1,120.11,4500,-240600000000,37.5
nrts-oxey,1000,1,0,1.41,2,120.24,4400,-240600000000,36.6
nrts-oxey,1000,1,0,1.41,3,120.02,4300,-246400000000,35.8
nrts-oxey,1000,1,0,1.41,4,120.10,4500,-245100000000,37.5
nrts-oxey,1000,1,0,1.41,5,120.05,4300,-236600000000,35.8
nrts-oxey,10000,1,0,1.41,1,121.05,930,-247200000000,7.7
nrts-oxey,10000,1,0,1.41,2,120.28,930,-249600000000,7.7
nrts-oxey,10000,1,0,1.41,3,120.92,930,-247100000000,7.7
nrts-oxey,10000,1,0,1.41,4,120.93,940,-248500000000,7.8
nrts-oxey,10000,1,0,1.41,5,120.67,930,-248400000000,7.7
nrts-oxey,100000,1,0,1.41,1,125.94,100,-246500000000,0.8
nrts-oxey,100000,1,0,1.41,2,125.37,100,-240800000000,0.8
nrts-oxey,100000,1,0,1.41,3,126.77,100,-239700000000,0.8
nrts-oxey,100000,1,0,1.41,4,125.59,100,-250900000000,0.8
nrts-oxey,100000,1,0,1.41,5,125.82,100,-242900000000,0.8
nrts-oxey,0,1,0,1.41,1,120.12,3000,-245900000000,25.0
nrts-oxey,0,1,0,1.41,2,120.08,3000,-249300000000,25.0
nrts-oxey,0,1,0,1.41,3,120.02,2900,-238200000000,24.2
nrts-oxey,0,1,0,1.41,4,120.25,2800,-247100000000,23.3
nrts-oxey,0,1,0,1.41,5,120.34,2900,-252900000000,24.1
nrts-oxey,10000,0,1,1.41,1,120.12,960,-232200000000,8.0
nrts-oxey,10000,0,1,1.41,2,120.06,960,-231400000000,8.0
nrts-oxey,10000,0,1,1.41,3,121.02,970,-227100000000,8.0
nrts-oxey,10000,0,1,1.41,4,120.24,970,-226300000000,8.1
nrts-oxey,10000,0,1,1.41,5,120.75,970,-230600000000,8.0
nrts-oxey,10000,0,3,1.41,1,121.02,970,-250300000000,8.0
nrts-oxey,10000,0,3,1.41,2,120.67,960,-230800000000,8.0
nrts-oxey,10000,0,3,1.41,3,121.11,970,-226500000000,8.0
nrts-oxey,10000,0,3,1.41,4,120.85,970,-233700000000,8.0
nrts-oxey,10000,0,3,1.41,5,120.20,960,-237400000000,8.0
nrts-oxey,10000,0,5,1.41,1,120.46,960,-243600000000,8.0
nrts-oxey,10000,0,5,1.41,2,121.13,970,-243700000000,8.0
