type,config,layout,sfbs_w,sfs_w,stretches_w,inroll_w,outroll_w,alternate_w,redirect_w,onehandin_w,onehandout_w,score,sfbs,sfs,stretches,inroll,outroll,alternate,redirect,onehandin,onehandout
reference,default,nrts-oxey,-7,-1,-3,5,4,4,1,1,0,-191315300110,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
reference,default,canary,-7,-1,-3,5,4,4,1,1,0,-205695504867,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
reference,default,colemak-dh,-7,-1,-3,5,4,4,1,1,0,-265575760220,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
reference,default,sturdy,-7,-1,-3,5,4,4,1,1,0,-187952867354,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
reference,default,noctum,-7,-1,-3,5,4,4,1,1,0,-190500016636,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,baseline,nrts-oxey,-7,-1,-3,5,4,4,1,1,0,-191315300110,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,baseline,canary,-7,-1,-3,5,4,4,1,1,0,-205695504867,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,baseline,colemak-dh,-7,-1,-3,5,4,4,1,1,0,-265575760220,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,baseline,sturdy,-7,-1,-3,5,4,4,1,1,0,-187952867354,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,baseline,noctum,-7,-1,-3,5,4,4,1,1,0,-190500016636,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,heavy-sfb,nrts-oxey,-15,-1,-3,5,4,4,1,1,0,-297556566630,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,heavy-sfb,canary,-15,-1,-3,5,4,4,1,1,0,-306688009083,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,heavy-sfb,colemak-dh,-15,-1,-3,5,4,4,1,1,0,-413905399206,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,heavy-sfb,sturdy,-15,-1,-3,5,4,4,1,1,0,-286919196059,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,heavy-sfb,noctum,-15,-1,-3,5,4,4,1,1,0,-285356560869,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,extreme-sfb,nrts-oxey,-25,-1,-3,5,4,4,1,1,0,-430466827990,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,extreme-sfb,canary,-25,-1,-3,5,4,4,1,1,0,-432928639353,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
